requirement_id,source,version,section,normative_level,role,profile,interpretation,component,formal_definition,lean_theorem,tamarin_lemma,test_evidence,conformance_evidence,status
ARF-ISSU_01a,ARF Annex 2,2.9.0,Topic 10,SHALL,PID/Attestation Provider,all,Support OID4VCI as HAIP-profiled plus ARF/TS03 changes,issuer-transition; issuer-wire-oid4vci,profileValid; mayIssue,FI-SAF-012,FI-PROT-001,metadata/endpoints,OIDF issuance profile,Open
ARF-WUA_25,ARF Annex 2,2.9.0,Topic 9,SHALL,PID/Attestation Provider,all,Verify WIA under OID4VCI Appendix E and confirm not revoked,issuer-wua; issuer-trust,wiaUsable,FI-SAF-001;FI-SAF-005,FI-PROT-007;FI-PROT-008,WIA positive/negative/status tests,EUDI FCAF when available,Open
ARF-ISSU_12c,ARF Annex 2,2.9.0,Topic 10,SHALL,PID Provider,PID,PID expiry not after WIA/KA revocation-maintenance end,issuer-policy,validityBound,FI-SAF-008,FI-PROT-008,boundary tests,profile conformance,Seeded
ARF-ISSU_14,ARF Annex 2,2.9.0,Topic 10,SHALL,PID Provider,PID,Every PID conforms to pinned PID Rulebook,issuer-policy; format crates,rulebookConformant,FI-SAF-006;FI-SAF-014,FI-PROT-001,rulebook vectors,EUDI profile tests,Open
ARF-ISSU_15,ARF Annex 2,2.9.0,Topic 10,SHALL,PID Provider,PID,Support OpenID4VCI for PID issuance,issuer-wire-oid4vci,protocolProfileValid,FI-SAF-012,FI-PROT-001..005,endpoint tests,OIDF suite,Open
ARF-ISSU_17,ARF Annex 2,2.9.0,Topic 10,SHALL,PID Provider,PID,Device binding mandatory for all PID,issuer-policy; issuer-wua,deviceBindingOk,FI-SAF-005;FI-SAF-006,FI-PROT-007,missing/mismatch KA and key tests,profile conformance,Seeded
ARF-ISSU_18,ARF Annex 2,2.9.0,Topic 10,SHALL,PID Provider,PID,Verify PID subject identity at LoA High,subject adapter; issuer-policy,roleEvidenceOk,FI-SAF-006,FI-PROT-001,LoA mapping tests,operational audit,Seeded
ARF-ISSU_25,ARF Annex 2,2.9.0,Topic 10,SHALL,Attestation Provider,EAA,Every attestation conforms to applicable Rulebook,issuer-policy; format crates,rulebookConformant,FI-SAF-007;FI-SAF-014,FI-PROT-001,rulebook vectors,EUDI profile tests,Open
ARF-ISSU_26,ARF Annex 2,2.9.0,Topic 10,SHALL,Attestation Provider,EAA,Support OpenID4VCI for attestation issuance,issuer-wire-oid4vci,protocolProfileValid,FI-SAF-012,FI-PROT-001..005,endpoint tests,OIDF suite,Open
ARF-ISSU_27,ARF Annex 2,2.9.0,Topic 10,SHOULD/SHALL when bound,Attestation Provider,EAA,Device binding recommended generally and mandatory when selected/mdoc,issuer-policy; issuer-wua,deviceBindingPolicy,FI-SAF-005;FI-SAF-007,FI-PROT-007,profile applicability tests,profile conformance,Open
ARF-ISSU_35,ARF Annex 2,2.9.0,Topic 10,SHALL,PID/Attestation Provider,all,All unique credential elements have negligible collision probability,issuer-domain; status; format crates,freshUnique,FI-SAF-009,credential_identifier_injective,statistical/fault-injection tests,privacy review,Open
ARF-ISSU_35b,ARF Annex 2,2.9.0,Topic 10,SHALL,PID/Attestation Provider,all,Discard unique values/timestamps when no longer needed and do not transmit them unnecessarily,issuer-transition; runtime,retentionInvariant,FI-SAF-011,privacy equivalence,deletion/log canary tests,privacy audit,Open
ARF-ISSU_36,ARF Annex 2,2.9.0,Topic 10,SHALL,PID/Attestation Provider,batch,Batch timestamps must not enable linkage,issuer-policy; format crates,batchUnlinkabilityPolicy,FI-SAF-009,batch equivalence,timestamp/ordering tests,privacy review,Open
ARF-ISSU_58+,ARF Annex 2,2.9.0,Topic 10,SHALL set,Wallet/Issuer,reissue,Support specified re-issuance lifecycle and same-wallet binding for device-bound credentials,issuer-transition,sameWalletReissue,FI-SAF-010,FI-PROT-010,refresh/reissue attack tests,EUDI profile tests,Open
OID4VCI-12.2.3,OID4VCI,1.0 Final,12.2.3,MUST,Credential Issuer,all,Signed metadata JWS with explicit type and required claims,metadata; issuer-jose,signedMetadataMatches,FI-SAF-015,issuer authentication,metadata vectors,OIDF suite,Open
OID4VCI-CREDENTIAL-ENDPOINT,OID4VCI,1.0 Final,8/11 profile mapping,MUST,Credential Issuer,all,Protected credential issuance endpoint and proof processing,issuer-wire-oid4vci; transition,mayIssue,FI-SAF-001..005,FI-PROT-001..005,positive/negative endpoint tests,OIDF suite,Open
OID4VCI-NONCE,OID4VCI,1.0 Final,Nonce/proof sections,MUST when profile uses,Credential Issuer,all,Issue/bind/expire/consume c_nonce as specified,issuer-transition,nonceLedgerInvariant,FI-SAF-003,FI-PROT-005,replay/race tests,OIDF suite,Open
OID4VCI-BATCH,OID4VCI,1.0 Final,Batch issuance,Conditional,Credential Issuer,batch,Same format/dataset constraints and distinct cryptographic data,issuer-transition; format crates,batchWellFormed,FI-SAF-009,batch equivalence,batch property/fuzz tests,OIDF suite,Open
HAIP-4-AUTH-CODE,HAIP,1.0 Final,4,MUST,Wallet/Issuer,haip,Authorization code flow,authorization components,authCodeProfile,FI-SAF-012,FI-PROT-001;003,flow tests,OIDF HAIP suite,Open
HAIP-4-FAPI2,HAIP,1.0 Final,4,MUST,Wallet/Issuer/AS,haip,"PKCE S256, PAR where applicable, issuer response identity, FAPI2 provisions",authorization components,fapiProfile,FI-SAF-012,FI-PROT-003;009,mix-up/redirect/PAR tests,OIDF HAIP suite,Open
HAIP-4-DPOP,HAIP,1.0 Final,4,MUST,Wallet/Issuer/AS,haip,DPoP sender-constrained access token and nonce handling,token; credential endpoint,tokenBinding,FI-SAF-004,FI-PROT-004;005,token theft/replay tests,OIDF HAIP suite,Open
HAIP-4.2-OFFER,HAIP,1.0 Final,4.2,MUST,Wallet/Issuer,haip,Credential Offer in same-device and cross-device flows,offer component,offerInvariant,FI-SAF-012,FI-PROT-009,QR/session-swap tests,OIDF HAIP suite,Open
HAIP-4.4.1-WALLET-ATTESTATION,HAIP,1.0 Final,4.4.1,MUST profile rules,Wallet/Issuer/AS,haip,Wallet client attestation authentication and privacy constraints,issuer-wua; token,walletClientAuth,FI-SAF-001;005,FI-PROT-007,chain/privacy tests,OIDF HAIP suite,Open
